Bloque de Numeración,IDO/IDD,"IDO/IDD
Alternativo",Autorización,Empresa,,,
2 22043XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22044XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22045XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22046XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22047XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22048XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22049XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22050XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22051XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22052XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22053XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22054XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22055XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22056XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22057XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22058XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22059XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22060XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22061XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22062XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22063XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22064XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22065XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22066XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22067XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22068XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22069XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22070XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22071XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22072XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22073XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22074XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22075XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22076XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22077XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22078XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22079XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22080XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22081XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22082XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22083XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22084XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22085XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22086XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22087XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22088XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22089XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22090XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22091XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22092XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22093XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22094XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22095XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22096XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22097XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22098XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22099XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22100XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22101XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22102XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22103XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22104XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22105XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22106XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22107XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22108XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22109XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22110XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22111XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22112XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
